Contact ID,First Name,LastName,phoneNumber,E-Mail,created_at,courriel,email,Mail
ab91dd71-ba0d-44f5-8ff5-435718f1101e,Aimée,Pons,+33(0)572680808,jeannemartinez@le.com,2024-04-08,,,
ad2654a4-8733-4652-9c01-ef9d881cf24c,Adrienne,COHEN,+33 (0)5 38 06 71 30,,2022-06-04,qgodard@tiscali.fr,,
a0786e8f-5490-4f0a-b70f-8b814f8390da,Jacqueline,LAURENT,+33 5 18 05 33 96,,2022/10/29,girardcaroline@martineau.fr,,
706370c4-971f-4676-b697-67b732dba13d,Marianne,Mathieu,0397698731,,2022-09-25,,jmarion@club-internet.fr,
a90ae1cd-f4ac-41f0-bcf0-86c5d91e7e1a,Guillaume,michel,+33(0)809701426,groux@gimenez.com,30-09-2022,,,
1ec83ceb-c201-426f-a924-b4722363bd37,Catherine,HAMON,5998989721170,,2022/07/24,,xguillou@dubois.com,
ab9737ef-ffc1-4e7b-b17a-273b941eddf9,Claude,MARTEL,+33 (0)1 48 06 75 71,,2024-10-08,benjamin95@delannoy.com,,
9c9f2ec0-ef80-4189-83cb-fd06b8692e43,Aurélie,michel,+33(0)296496683,,29-07-2022,,tgros@laposte.net,
fd97a595-26be-41e5-bac2-0f0f652b1328,Odette,laine,0188390624,,05-09-2022,,,lamyalphonse@hotmail.fr
9dc4805f-1fe3-469c-831e-687425076d01,Étienne,Gilbert,0313193592,,2023/06/18,,,oliviermarthe@club-internet.fr
2f49056a-9f5f-4623-9392-1935d6f8d94c,Anaïs,Toussaint,+33 (0)1 96 61 77 18,emilie69@orange.fr,2025/04/09,,,
ba6b295c-aec9-4199-ac27-ca62141f8b4c,Charles,Dumas,01 98 74 86 94,,2024-01-17,,,astridbouvier@orange.fr
53ae0bce-0ccc-4432-a913-ed3b7f5c62cc,Sophie,NGUYEN,+33(0)346648966,,06-02-2024,,alexandrelanglois@dbmail.com,
3a99542f-58d6-47f6-9bb5-a0529a88d62a,Bernard,Petit,,,12-12-2022,,julienlemaire@free.fr,
b601efce-7b2f-4249-a565-8fc1fb62f1dc,Clémence,Vaillant,0227677462,,2023-06-18,,edouardgiraud@hebert.com,
abf7c028-1f97-4761-a0bf-262b4f4c9fe8,Frédérique,Lemonnier,04 26 42 61 21,philippe54@david.fr,2023-05-19,,,
2b728139-af61-497d-a127-5e6489f515e0,Thérèse,Legrand,3274897917763,,2022/08/02,michele08@gmail.com,,
4762fc23-2c18-4303-bd28-750f58683a1b,Pierre,adam,5882493534001,,2024/07/28,,,remy60@sfr.fr
22021f9f-b3fc-444c-942a-9c097b3299df,Virginie,Voisin,0398829045,,,virginie72@mallet.net,,
2af3d7cd-364b-4aa2-ac93-53cd8e9a8e72,William,rivière,+33 (0)5 98 64 24 23,garciajulien@roger.com,29-03-2025,,,
c4350ad5-c046-45c7-8875-33e56bcfd76f,Emmanuelle,Clerc,6108143561403,,2025/03/05,thomasruiz@pruvost.fr,,
fe3cf361-e44d-4a28-9739-a70fb43e9061,Maurice,Carre,0111065411,uallard@alexandre.org,2024-12-05,,,
1e49c76a-90d5-4b99-a2a1-a620e5d0111f,Charlotte,EVRARD,06 08 90 58 36,,2024/10/24,,,marchalantoine@live.com
50798aac-82af-4a66-95ea-d3595c780e70,Georges,Jacques,0318095217,,24-02-2025,tcharpentier@hotmail.fr,,
d2c447bd-1af0-4b95-a1c3-90e2ea8f37c7,Françoise,PERROT,4199626422297,,2024-06-13,,,claire05@noos.fr
8529e74f-7c48-43d9-96c6-0b3d0ef40214,Manon,Blondel,0163564072324,,2022/11/17,,,mariecharles@guillot.com
